MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel
82591,WPR12CA073,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82591/pdf,1/1/2012,Eureka,California,United States,40.803333,-124.112777,,,Non-Fatal
82595,ERA12LA131,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82595/pdf,1/1/2012,Willimantic,Connecticut,United States,41.741664,-72.18972,,,Non-Fatal
82599,ERA12LA132,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82599/pdf,1/2/2012,Shelter Island,New York,United States,41.066665,-72.343055,,,Non-Fatal
82603,ERA12CA134,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82603/pdf,1/2/2012,River Ranch,Florida,United States,27.900831,-81.580116,,,Non-Fatal
82607,CEN12LA120,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82607/pdf,1/1/2012,Lohn,Texas,United States,31.325,-99.408332,,2,Non-Fatal
82615,CEN12CA121,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82615/pdf,1/3/2012,Truth or Consequences,New Mexico,United States,33.236946,-107.271667,,,Non-Fatal
82616,CEN12TA122,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82616/pdf,1/3/2012,Conroe,Texas,United States,30.30861,-95.449996,,,Non-Fatal
82621,CEN12LA124,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82621/pdf,1/3/2012,San Angelo,Texas,United States,31.280374,-100.410598,,,Non-Fatal
82623,WPR12LA074,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82623/pdf,1/6/2012,Glendale,Arizona,United States,33.526943,-112.29528,,,Non-Fatal
82624,WPR12LA075,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82624/pdf,1/5/2012,Las Vegas,Nevada,United States,36.20861,-115.195274,,,Non-Fatal
82632,ERA12CA137,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82632/pdf,1/6/2012,St Petersburg,Florida,United States,27.750833,-82.622779,,,Non-Fatal
82635,ERA12CA140,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82635/pdf,1/7/2012,Umatilla,Florida,United States,28.921112,-81.651107,,,Non-Fatal
82645,WPR12LA076,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82645/pdf,1/6/2012,Phoenix,Arizona,United States,33.688331,-112.082496,,,Non-Fatal
82646,ERA12LA141,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82646/pdf,1/8/2012,Jefferson,Georgia,United States,34.172222,-83.556945,1,,Fatal
82648,CEN12LA126,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82648/pdf,1/6/2012,Somerset,Colorado,United States,38.935001,-107.467781,,,Non-Fatal
82660,CEN12LA128,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82660/pdf,1/5/2012,Revere,Minnesota,United States,43.229999,-95.300003,,,Non-Fatal
82661,CEN12LA129,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82661/pdf,1/6/2012,Chetek,Wisconsin,United States,45.306388,-91.636665,,,Non-Fatal
82665,ERA12WA142,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82665/pdf,1/7/2012,Andros Island,,Bahamas,24.43,-78.199996,,,Non-Fatal
82669,ERA12FA143,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82669/pdf,1/11/2012,Fitchburg,Massachusetts,United States,42.561943,-71.771667,,1,Non-Fatal
82671,CEN12CA131,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82671/pdf,1/11/2012,Alanson,Michigan,United States,45.443889,-84.786666,,1,Non-Fatal
82672,CEN12CA132,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82672/pdf,1/2/2012,Del Norte,Colorado,United States,37.702499,-106.351669,,,Non-Fatal
82677,CEN12LA133,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82677/pdf,1/11/2012,Denmark,Wisconsin,United States,44.339359,-87.820869,,1,Non-Fatal
82682,WPR12CA077,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82682/pdf,1/14/2012,San Diego,California,United States,32.572223,-116.980278,,,Non-Fatal
82683,ERA12LA145,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82683/pdf,1/15/2012,Brewster,Massachusetts,United States,41.776668,-70.116386,2,,Fatal
82684,ERA12FA146,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82684/pdf,1/16/2012,Philadelphia,Mississippi,United States,32.793888,-89.123611,1,,Fatal
82688,CEN12LA134,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82688/pdf,1/13/2012,Bartlesville,Oklahoma,United States,36.729789,-96.069648,,,Non-Fatal
82691,CEN12LA135,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82691/pdf,1/13/2012,El Dorado,Kansas,United States,37.819248,-96.850662,,,Non-Fatal
82694,CEN12CA136,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82694/pdf,1/13/2012,Willmar,Minnesota,United States,45.116943,-95.129447,,,Non-Fatal
82704,CEN12FA139,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82704/pdf,1/19/2012,Centerville,Louisiana,United States,29.5275,-91.395553,2,,Fatal
