MKey,AircraftNumber,DamageLevel,RegistrationNumber,AircraftCategory,AircraftMake,AircraftModel,RegulationFlightConductedUnder,PurposeOfFlight,IntentionalAct,PhaseOfFlight,DefiningEvent
82591,1,Substantial,N45WM,Airplane,MCADAM W E,CHRISTEN EAGLE II,Part 91: General aviation,Personal,,Landing,Aerodrome
82595,1,Substantial,N667JH,Airplane,HANEY JOHN F B,SEASTAR XP,Part 91: General aviation,Personal,,Initial Climb,System/Component Failure - Powerplant
82599,1,Substantial,N8282P,Airplane,PIPER,PA-34-200T,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
82603,1,Substantial,N171GS,Airplane,MAULE,M-5-180C,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
82607,1,Substantial,N9021R,Helicopter,CONTINENTAL COPTERS INC.,47G2,Part 91: General aviation,Aerial observation,,Maneuvering,System/Component Failure - Non-power
82615,1,Substantial,N120J,Airplane,BUTLER JOHN R,SX 300,Part 91: General aviation,Personal,,Takeoff,Other
82616,1,Substantial,N54872,Airplane,CESSNA,172P,Public aircraft,Public aircraft,,Landing,Collision on Takeoff or Landing
82621,1,Substantial,N5768W,Airplane,PIPER,PA-28-160,Part 91: General aviation,Instructional,,Approach,System/Component Failure - Powerplant
82623,1,Substantial,N247DY,Airplane,CZECH SPORTPLANES SRO,DYNAMIC WT9,Part 91: General aviation,Personal,,Taxi,Loss of Control on Ground
82624,1,Substantial,N104RM,Airplane,PIPER,AEROSTAR 601P,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
82632,1,Substantial,N8066U,Helicopter,ROBINSON HELICOPTER,R22 BETA,Part 91: General aviation,Instructional,,Uncontrolled Descent,Other
82635,1,Substantial,N77859,Airplane,LUSCOMBE,8A,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
82645,1,Substantial,N4175V,Airplane,PIPER,PA28,Part 91: General aviation,Instructional,,Landing,Loss of Control on Ground
82646,1,Destroyed,N4626,Airplane,BOWERS FLY BABY,1-A,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
82648,1,Substantial,N127AK,Airplane,AVIAT,A1,Part 91: General aviation,Personal,,Takeoff,Loss of Control on Ground
82660,1,Substantial,N330BL,Airplane,Sanderson,Pitts Special SPS-1,Part 91: General aviation,Personal,,Enroute,Fuel Related
82661,1,Substantial,N11HY,Airplane,Aviat Aircraft Inc,A-1C-180,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
82665,1,Substantial,N723EA,Airplane,CIRRUS DESIGN CORP,SR22,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
82669,1,Substantial,N4041J,Airplane,CESSNA,150G,Part 91: General aviation,Instructional,,Initial Climb,System/Component Failure - Powerplant
82671,1,Substantial,N3902V,Powered parachute,INFINITY POWER PARACHUTES LLC,CLASSIC 2002,Part 91: General aviation,Personal,,Takeoff,Loss of Lift
82672,1,Substantial,N9952Q,Airplane,PIPER,PA-18-135,Part 91: General aviation,Instructional,,Landing,Runway Excursion
82677,1,Substantial,N60676,Airplane,CESSNA,150J,Part 91: General aviation,Personal,,Maneuvering,Loss of Control In-Flight
82682,1,Substantial,N409EV,Airplane,EVEKTOR-AEROTECHNIK AS,SPORTSTAR,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
82683,1,Substantial,N7648P,Airplane,PIPER,PA-24-180,Part 91: General aviation,Instructional,,Enroute,Loss of Control In-Flight
82684,1,Substantial,N700PS,Airplane,Aerostar Aircraft Corporation,PA-60-601P,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
82688,1,Substantial,N524HW,Airplane,AERO COMMANDER,500-B,Part 91: General aviation,Positioning,,Enroute,System/Component Failure - Powerplant
82691,1,Substantial,N714BS,Airplane,CESSNA,150M,Part 91: General aviation,Personal,,Maneuvering,System/Component Failure - Powerplant
82694,1,Substantial,N262RW,Airplane,MOONEY AIRCRAFT CORP.,M20K,Part 91: General aviation,Instructional,,Landing,Abnormal Runway Contact
82704,1,Substantial,N369TL,Helicopter,ROBINSON,R44 II,Part 91: General aviation,Personal,,Maneuvering,Loss of Control In-Flight
82705,1,Substantial,N35571,Airplane,CESSNA,172I,Part 91: General aviation,Personal,,Approach,System/Component Failure - Powerplant
82708,1,Substantial,N16RZ,Airplane,AERO VODOCHODY,L39C,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
82713,1,Substantial,N582MS,Airplane,M-SQUARED AIRCRAFT,BREESE 2,Part 91: General aviation,Instructional,,Initial Climb,System/Component Failure - Non-power
82714,1,Substantial,N73JK,Airplane,CESSNA,150G,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
82715,1,Substantial,N66540,Airplane,CESSNA,172P,Part 91: General aviation,Instructional,,Landing,Loss of Control on Ground
82716,1,Substantial,N64270,Airplane,CESSNA,172M,Part 91: General aviation,Instructional,,Landing,Loss of Control on Ground
82721,1,Substantial,N513CW,Airplane,PIPER,PA-32RT-300,Part 91: General aviation,Personal,,Takeoff,Loss of Control In-Flight
82730,1,Substantial,N3435T,Airplane,CESSNA,177A,Part 91: General aviation,Personal,,Maneuvering,Loss of Control In-Flight
82734,1,Substantial,N4510T,Helicopter,ROBINSON HELICOPTER COMPANY,R44 II,Part 133: Rotorcraft ext. load,External load,,Standing,Ground Handling
82744,1,Substantial,N358CC,Airplane,BEECH,58,Part 91: General aviation,Executive/Corporate,,Landing,Runway Excursion
82746,1,Substantial,N7130U,Airplane,CESSNA,210E,Part 91: General aviation,Personal,,Approach,System/Component Failure - Powerplant
82755,1,Substantial,N340HF,Airplane,CESSNA,340A,Part 91: General aviation,Personal,,Approach,Loss of Control In-Flight
82756,1,Substantial,N713C,Airplane,HELIO,H-295,Part 91: General aviation,Positioning,,Landing,Abnormal Runway Contact
82757,1,Substantial,N4297S,Airplane,PIPER,PA-28-181,Part 91: General aviation,Personal,,Takeoff,Loss of Control on Ground
82758,1,Substantial,N811P,Airplane,CESSNA,172L,Part 91: General aviation,Personal,,Landing,Runway Excursion
82760,1,Substantial,N1352T,Airplane,PIPER,PA-28-180,Part 91: General aviation,Personal,,Approach,Loss of Control In-Flight
82762,1,Substantial,N761HW,Airplane,CESSNA,T210M,Part 91: General aviation,Personal,,Initial Climb,System/Component Failure - Powerplant
82771,1,Substantial,N17873,Glider,SCHWEIZER,SGS 2-33A,Part 91: General aviation,Instructional,,Enroute,Glider Towing
82772,1,None,N746R,Airplane,PIPER,PA-28R-200,Part 91: General aviation,Personal,,Standing,Ground Handling
82774,1,Substantial,N3242D,Airplane,CESSNA,180,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
82776,1,Substantial,N30DC,Airplane,PIPER,PA-31-310,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
82784,1,Substantial,N133LS,Airplane,REMOS AIRCRAFT GMBH,G-3/600,Part 91: General aviation,Instructional,,Landing,Loss of Control on Ground
82789,1,Substantial,N2677A,Airplane,PIPER,PA-22-135,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
82794,1,Substantial,N15791,Airplane,PIPER,PA-28-140,Part 91: General aviation,Instructional,,Landing,Undershoot/Overshoot
82804,1,Substantial,N5026C,Airplane,CESSNA,172S,Part 91: General aviation,Instructional,,Landing,Abnormal Runway Contact
