MKey,AircraftNumber,Category,Subcategory,Section,Subsection,ModifierName
82591,1,Environmental issues,Physical environment,Object/animal/substance,Animal(s)/bird(s),Effect on equipment
82591,1,Environmental issues,Physical environment,Object/animal/substance,Animal(s)/bird(s),Ability to respond/compensate
82595,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,Conducive to carburetor icing,Effect on equipment
82595,1,Aircraft,Aircraft systems,Ice/rain protection system,"Intake anti-ice, deice",Design
82595,1,Aircraft,Aircraft power plant,Engine fuel and control,Fuel control/carburetor,Capability exceeded
82595,1,Personnel issues,Task performance,Maintenance,Installation,Owner/builder
82599,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Landing flare,Not attained/maintained
82599,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82603,1,Personnel issues,Action/decision,Action,Incorrect action performance,Pilot
82603,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82603,1,Environmental issues,Conditions/weather/phenomena,Wind,Gusts,Awareness of condition
82607,1,Aircraft,Aircraft propeller/rotor,Tail rotor drive system,Tail rotor gearbox,Fatigue/wear/corrosion
82607,1,Aircraft,Aircraft propeller/rotor,Tail rotor drive system,Tail rotor gearbox,Incorrect service/maintenance
82607,1,Personnel issues,Task performance,Maintenance,Repair,Maintenance personnel
82615,1,Aircraft,Aircraft structures,Doors,Passenger/crew doors,Incorrect use/operation
82615,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82615,1,Personnel issues,Psychological,Attention/monitoring,Attention,Pilot
82616,1,Aircraft,Aircraft power plant,Engine (reciprocating),Recip eng rear section,Failure
82616,1,Personnel issues,Action/decision,Action,Incomplete action,Maintenance personnel
82616,1,Environmental issues,Physical environment,Object/animal/substance,Wire,Contributed to outcome
82616,1,Environmental issues,Physical environment,Object/animal/substance,Pole,Contributed to outcome
82621,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82623,1,Personnel issues,Action/decision,Action,Incorrect action performance,Pilot
82623,1,Aircraft,Aircraft systems,Landing gear system,Brake,Malfunction
82623,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82624,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82624,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82632,1,Personnel issues,Action/decision,Action,Delayed action,Instructor/check pilot
82632,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82632,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent/approach/glide path,Not attained/maintained
82635,1,Aircraft,Aircraft systems,Landing gear system,Main gear strut/axle/truck,Fatigue/wear/corrosion
82635,1,Aircraft,Aircraft systems,Landing gear system,Main landing gear,Failure
82645,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82645,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82645,1,Aircraft,Aircraft systems,Landing gear system,Nose/tail landing gear,Not specified
82645,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82646,1,Aircraft,Aircraft power plant,Ignition system,Magneto/distributor,Incorrect service/maintenance
82646,1,Personnel issues,Task performance,Maintenance,Installation,Other
82646,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Airspeed,Not attained/maintained
